peak_name,chr,start,end,gene_number,gene_name
Merged-chr18-3004881-4,chr18,3004774,3004991,0,NA
Merged-chr18-3005338-11,chr18,3005183,3005484,0,NA
Merged-chr18-3006240-2,chr18,3006136,3006345,0,NA
Merged-chr18-3007810-4,chr18,3007683,3007938,0,NA
Merged-chr18-3008694-31,chr18,3008474,3008891,0,NA
Merged-chr18-3009234-1,chr18,3009134,3009334,0,NA
Merged-chr18-3009595-9,chr18,3009375,3009863,0,NA
Merged-chr18-3010249-12,chr18,3009911,3010483,0,NA
Merged-chr18-3020496-1,chr18,3020396,3020596,0,NA
Merged-chr18-3039543-1,chr18,3039443,3039643,1,Vmn1r238
Merged-chr18-3051565-1,chr18,3051465,3051665,1,Vmn1r238
Merged-chr18-3094005-1,chr18,3093905,3094105,1,Vmn1r238
Merged-chr18-3118142-11,chr18,3117949,3118353,1,Vmn1r238
Merged-chr18-3118709-2,chr18,3118524,3118895,1,Vmn1r238
Merged-chr18-3127738-1,chr18,3127638,3127838,1,Vmn1r238
Merged-chr18-3134171-1,chr18,3134071,3134271,1,Vmn1r238
Merged-chr18-3139712-3,chr18,3139598,3139834,1,Vmn1r238
Merged-chr18-3160869-1,chr18,3160769,3160969,1,Vmn1r238
Merged-chr18-3168698-1,chr18,3168598,3168798,2,"Vmn1r238,Crem"
Merged-chr18-3171831-1,chr18,3171731,3171931,2,"Vmn1r238,Crem"
Merged-chr18-3176693-2,chr18,3176569,3176818,2,"Vmn1r238,Crem"
Merged-chr18-3177197-1,chr18,3177097,3177297,2,"Vmn1r238,Crem"
Merged-chr18-3182408-1,chr18,3182308,3182508,2,"Vmn1r238,Crem"
Merged-chr18-3184836-1,chr18,3184736,3184936,2,"Vmn1r238,Crem"
Merged-chr18-3190622-1,chr18,3190522,3190722,2,"Vmn1r238,Crem"
Merged-chr18-3245191-1,chr18,3245091,3245291,2,"Crem,Gm6225"
Merged-chr18-3248066-17,chr18,3247722,3248238,2,"Crem,Gm6225"
Merged-chr18-3248894-2,chr18,3248721,3249067,2,"Crem,Gm6225"
Merged-chr18-3256085-1,chr18,3255985,3256185,2,"Crem,Gm6225"
Merged-chr18-3256422-1,chr18,3256322,3256522,2,"Crem,Gm6225"
Merged-chr18-3257755-1,chr18,3257655,3257855,2,"Crem,Gm6225"
Merged-chr18-3262240-1,chr18,3262140,3262340,2,"Crem,Gm6225"
Merged-chr18-3265682-1,chr18,3265582,3265782,2,"Crem,Gm6225"
Merged-chr18-3270420-3,chr18,3270230,3270587,2,"Crem,Gm6225"
Merged-chr18-3270902-58,chr18,3270677,3271076,2,"Crem,Gm6225"
Merged-chr18-3274891-1,chr18,3274791,3274991,2,"Crem,Gm6225"
Merged-chr18-3280997-69,chr18,3280724,3281207,2,"Crem,Gm6225"
Merged-chr18-3281830-39,chr18,3281688,3281979,2,"Crem,Gm6225"
Merged-chr18-3287716-1,chr18,3287616,3287816,3,"Crem,Gm6225,Cul2"
Merged-chr18-3293185-6,chr18,3293075,3293301,3,"Crem,Gm6225,Cul2"
Merged-chr18-3293767-2,chr18,3293622,3293912,3,"Crem,Gm6225,Cul2"
Merged-chr18-3295922-1,chr18,3295822,3296022,3,"Crem,Gm6225,Cul2"
Merged-chr18-3301117-1,chr18,3301017,3301217,3,"Crem,Gm6225,Cul2"
Merged-chr18-3305337-1,chr18,3305237,3305437,3,"Crem,Gm6225,Cul2"
Merged-chr18-3308676-1,chr18,3308576,3308776,3,"Crem,Gm6225,Cul2"
